Brand,Model,Processor_Brand,Processor_Name,Processor_Gnrtn,Ram_Gb,Ram_Type,Ssd,Hdd,Drive_Type,Os,Os_Bit,Warranty,Touchscreen,Msoffice,Latest_Price,Old_Price,Discount,Star_Rating,Ratings,Reviews
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?24,990","?32,790",24%,3.7,63,12
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,,512 GB,HDD,Windows,64-bit,0,No,No,"?19,590","?21,325",8%,3.6,1894,256
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,,SSD,Windows,64-bit,0,No,No,"?19,990","?27,990",29%,3.7,1153,159
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,,SSD,Windows,64-bit,0,No,No,"?21,490","?27,990",23%,3.7,1153,159
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?24,990","?33,490",25%,3.7,1657,234
Avita,PURA,AMD,APU Dual,10th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?24,990","?33,490",25%,3.7,1657,234
HP,APU,AMD,APU Dual,10th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?20,900","?22,825",8%,3.9,1185,141
Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?21,896",?0,0%,3.9,219,18
HP,Athlon,AMD,Athlon Dual,10th,32 GB,DDR4,32 GB,,SSD,Windows,32-bit,0,No,No,"?26,899","?27,668",3%,0,0,0
acer,Aspire,AMD,Athlon Dual,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?31,990","?36,990",14%,4.2,76,13
ASUS,ExpertBook,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?34,649","?41,990",17%,2.3,3,0
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?38,999","?42,705",9%,3.8,65,5
Lenovo,v15,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?39,999","?43,999",9%,3.1,8,1
ASUS,ExpertBook,Intel,Core i5,10th,8 GB,DDR4,512 GB,,SSD,Windows,32-bit,0,No,No,"?69,990",?0,0%,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,6th,4 GB,DDR4,,512 GB,HDD,Windows,64-bit,0,No,No,"?26,990","?28,990",7%,0,0,0
ASUS,EeeBook,Intel,Celeron Dual,6th,4 GB,DDR4,,512 GB,HDD,Windows,64-bit,0,No,No,"?22,990","?27,990",18%,0,0,0
ASUS,EeeBook,Intel,Celeron Dual,6th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?21,990","?25,990",15%,3.5,31,3
ASUS,ExpertBook,Intel,Core i5,10th,8 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?58,799","?77,990",25%,0,0,0
Lenovo,Missing,Intel,Core i5,10th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?49,999","?59,000",15%,0,0,0
